ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
ypTx,ypTx,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypTx,,,
ypT0,ypT0,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT0,,,
ypTa,ypTa,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypTa,,,
ypTis,ypTis,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypTis,,,
ypTis (DCIS),ypTis (DCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypTis (DCIS),,,
ypTis (LAMN),ypTis (LAMN),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypTis (LAMN),,,
ypTis (LCIS),ypTis (LCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypTis (LCIS),,,
ypTis (Paget),ypTis (Paget),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypTis (Paget),,,
ypTis pu,ypTis pu,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypTis pu,,,
ypT1,ypT1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1,,,
ypT1mi,ypT1mi,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1mi,,,
ypT1a,ypT1a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1a,,,
ypT1a1,ypT1a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1a1,,,
ypT1a2,ypT1a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1a2,,,
ypT1b,ypT1b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1b,,,
ypT1b1,ypT1b1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1b1,,,
ypT1b2,ypT1b2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1b2,,,
ypT1c,ypT1c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1c,,,
ypT1c1,ypT1c1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1c1,,,
ypT1c2,ypT1c2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1c2,,,
ypT1c3,ypT1c3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1c3,,,
ypT1d,ypT1d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT1d,,,
ypT2,ypT2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT2,,,
ypT2a,ypT2a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT2a,,,
ypT2a1,ypT2a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT2a1,,,
ypT2a2,ypT2a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT2a2,,,
ypT2b,ypT2b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT2b,,,
ypT2c,ypT2c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT2c,,,
ypT2d,ypT2d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT2d,,,
ypT3,ypT3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT3,,,
ypT3a,ypT3a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT3a,,,
ypT3b,ypT3b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT3b,,,
ypT3c,ypT3c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT3c,,,
ypT3d,ypT3d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT3d,,,
ypT4,ypT4,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT4,,,
ypT4a,ypT4a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT4a,,,
ypT4b,ypT4b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT4b,,,
ypT4c,ypT4c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT4c,,,
ypT4d,ypT4d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT4d,,,
ypT4e,ypT4e,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ypT4e,,,
