ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Bij een aanval,1022,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Bij een aanval,,,
Bij benauwdheid,1023,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Bij benauwdheid,,,
Bij diarree,1024,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Bij diarree,,,
Bij pijn,1028,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Bij pijn,,,
Bij jeuk,1121,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Bij jeuk,,,
Zo nodig,1137,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Zo nodig,,,
Bij hoofdpijn,1144,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Bij hoofdpijn,,,
Bij koorts,1145,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Bij koorts,,,
Bij hoge koorts,1146,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Bij hoge koorts,,,
Bij koorts en/of pijn,1147,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Bij koorts en/of pijn,,,
Bij hoest,1387,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Bij hoest,,,
Bij menstruatiepijnen,1540,,GSt bst362 ,2.16.840.1.113883.2.4.4.5,Bij menstruatiepijnen,,,
Overig,OTH,,NullFlavor,2.16.840.1.113883.5.1008,Overig,,,
Geen Informatie,NI,,NullFlavor,2.16.840.1.113883.5.1008,Geen Informatie,,,
