ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:12.5.2,Ademfrequentie,rootconcept,,,,,,,,,
NL-CM:12.5.4,AdemhalingDatumTijd,,,,,,,,,,
NL-CM:12.5.5,Ritme,,,,,,,,,,
NL-CM:12.5.6,Diepte,,,,,,,,,,
NL-CM:12.5.7,AfwijkendAdemhalingspatroon,,,,,,,,,,
NL-CM:12.5.12,	ExtraZuurstofToediening,,,,,,,,,,,
NL-CM:12.5.3,Toelichting,,,,,,,,,,
NL-CM:12.5.8,ToegediendeZuurstof,,,,,,,,,,
NL-CM:12.5.10,FlowRate,,,,,,,,,,
NL-CM:12.5.9,FiO2,,,,,,,,,,
NL-CM:12.5.13,ToedieningHulpmiddel::MedischHulpmiddel,,,,,,,,,,
NL-CM:10.1.3,ProductType,,,,,,,,,,
