ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:15.1.1,Contact,rootconcept,,,,,,,,,
NL-CM:15.1.2,ContactType,CD,1,,ContactTypeCodelijst,,,,,,
NL-CM:15.1.7,ContactMet::Zorgverlener,"context,reference",0..*,,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,
NL-CM:15.1.8,Locatie::Zorgaanbieder,"context,reference",0..1,,Dit is een verwijzing het rootconcept van de bouwsteen Zorgaanbieder.,,,,,,
NL-CM:15.1.3,BeginDatumTijd,TS,1,,,,,,,,
NL-CM:15.1.4,EindDatumTijd,TS,0..1,,,,,,,,
NL-CM:15.1.13,RedenContact,container,1..*,,,,,,,,
NL-CM:15.1.6,Probleem,"data,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Probleem.,,,,,,
NL-CM:15.1.11,Verrichting,"data,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Verrichting.,,,,,,
NL-CM:15.1.12,AfwijkendeUitslag,ST,(0..1),,,,,,,,
NL-CM:15.1.17,ToelichtingRedenContact,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
NL-CM:15.1.14,Herkomst,CD,0..1,,HerkomstCodelijst,,,,,,
NL-CM:15.1.16,Bestemming,CD,0..1,,BestemmingCodelijst,,,,,,
